biosample_id,sampleid,organism,host,city,state,zip,country,university,lat_lon,horse,visit,sample_order,dob,collection_date,age_of_collection,sample_age,month_norm,equine_sex,sex,breed,breed_type,diagnosis,disease_category,colic_inflammatory,acute_gi_subgroup,disease_category_healthy,disease_category_acute_gi,disease_category_musculoskeletal,disease_category_ocular,disease_category_integumentary,disease_category_respiratory,disease_category_chronic_gi,disease_category_neurologic,disease_category_dental,disease_category_reproductive,disease_category_systemic,disease_category_cardiovascular,disease_category_immune_mediated,disease_category_urinary,euthanasia_death,treatment,treatment_analgesic,treatment_antibiotic,treatment_surgery,treatment_antacid,treatment_drug,treatment_procedure,treatment_sedative,treatment_supplement,treatment_antibiotic_aminoglycoside,treatment_NSAID,treatment_anesthetic,treatment_antibiotic_beta_lactam,treatment_antibiotic_cephalosporin,treatment_fluid,treatment_antibiotic_sulfonamide,treatment_corticosteroid,feed,feed_pasture,feed_hay,feed_grain,feed_nursing
SAMN37981193,JW10,Equine Feces,Equus caballus,Bonnots Mill,MO,65016,USA,University of Missouri,38.94 N 92.32 W,7157765,1,2,8/31/04,5/14/16,4274,3,5.451612903,Gelding,Male,Quarter Horse,Quarter Horse,Colitis,Gastrointestinal (Chronic),,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No,"Probiotics, Banamine, Naxcel, Misoprostol, Enrofloxacin, Gastrogard",,Enrofloxacin,,Omeprazole,Misoprostol,,,Probiotics,,Flunixin,,,Ceftiofur,,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981194,JW11,Equine Feces,Equus caballus,Bonnots Mill,MO,65016,USA,University of Missouri,38.94 N 92.32 W,7157765,1,1,8/31/04,5/12/16,4272,1,5.387096774,Gelding,Male,Quarter Horse,Quarter Horse,Colitis,Gastrointestinal (Chronic),,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No,"Probiotics, Banamine, Naxcel, Misoprostol, Enrofloxacin, Gastrogard",,Enrofloxacin,,Omeprazole,Misoprostol,,,Probiotics,,Flunixin,,,Ceftiofur,,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981195,JW12,Equine Feces,Equus caballus,Montreal,MO,65591,USA,University of Missouri,38.94 N 92.32 W,7151532,1,1,2/25/09,5/24/16,2645,1,5.774193548,Mare,Female,Quarter Horse,Quarter Horse,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Dental Extraction,,,,,,,,,,,,,,Pasture/Grain,1,0,1,0
SAMN37981196,JW13,Equine Feces,Equus caballus,Clinton,MO,64735,USA,University of Missouri,38.94 N 92.32 W,7166180,1,1,5/14/07,5/14/16,3288,1,5.451612903,Mare,Female,Arabian,Hot-blooded,Colic,Gastrointestinal (Acute),no,Non-Specific,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,"Xylazine, Banamine, mineral oil, LRS, Lidocaine, Butorphanol, Detomidine",Butorphanol,,,,,,"Xylazine,Detomidine",Mineral Oil,,Flunixin,Lidocaine,,,Lactated Ringer's Solution,,,Pasture/Grain,1,0,1,0
SAMN37981197,JW14,Equine Feces,Equus caballus,New Bloomfield,MO,65063,USA,University of Missouri,38.94 N 92.32 W,7166320,1,1,5/18/15,5/18/16,366,1,5.580645161,Colt,Male,Saddlebred,Other,Salmonella,Gastrointestinal (Chronic),,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No,"Ceftiofur, Excede, Gentacin, Banamine, Gastrogard, LRS, Misoprostol",,,,Omeprazole,Misoprostol,,,,Gentamicin,Flunixin,,,Ceftiofur,Lactated Ringer's Solution,,,Hay,0,1,0,0
SAMN37981198,JW15,Equine Feces,Equus caballus,New Bloomfield,MO,65063,USA,University of Missouri,38.94 N 92.32 W,7166320,1,2,5/18/15,5/21/16,369,4,5.677419355,Colt,Male,Saddlebred,Other,Salmonella,Gastrointestinal (Chronic),,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No,"Ceftiofur, Excede, Gentacin, Banamine, Gastrogard, LRS, Misoprostol",,,,Omeprazole,Misoprostol,,,,Gentamicin,Flunixin,,,Ceftiofur,Lactated Ringer's Solution,,,Hay,0,1,0,0
SAMN37981199,JW16,Equine Feces,Equus caballus,Columbia,MO,65201,USA,University of Missouri,38.94 N 92.32 W,7162555,1,1,1/28/00,1/29/16,5845,1,1.935483871,Gelding,Male,Quarter Horse,Quarter Horse,Colic: Abdominal,Gastrointestinal (Acute),no,Non-Specific,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Flunixin, LRS",,,,,,,,,,Flunixin,,,,Lactated Ringer's Solution,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981200,JW17,Equine Feces,Equus caballus,Buffalo,MO,65622,USA,University of Missouri,38.94 N 92.32 W,7165120,1,1,4/14/01,4/19/16,5484,1,4.633333333,Stallion,Male,Missouri Fox Trotter,Other,Diarrhea: Chronic,Gastrointestinal (Chronic),,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No,"Banamine, Misoprostol, Yeast, Sucralfate, Gastrogard, Biosponge",,,,Omeprazole,"Misoprostol,Sucralfate",,,"Yeast,Biosponge",,Flunixin,,,,,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981201,JW18,Equine Feces,Equus caballus,Buffalo,MO,65622,USA,University of Missouri,38.94 N 92.32 W,7165120,1,2,4/14/01,4/22/16,5487,4,4.733333333,Stallion,Male,Missouri Fox Trotter,Other,Diarrhea: Chronic,Gastrointestinal (Chronic),,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No,"Banamine, Misoprostol, Yeast, Sucralfate, Gastrogard, Biosponge",,,,Omeprazole,"Misoprostol,Sucralfate",,,"Yeast,Biosponge",,Flunixin,,,,,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981202,JW19,Equine Feces,Equus caballus,Kansas City,MO,64163,USA,University of Missouri,38.94 N 92.32 W,7155984,2,2,7/7/95,8/26/15,7355,1,8.838709677,Gelding,Male,Tennessee Walking Horse,Other,Inflammatory Bowel Disease,Gastrointestinal (Chronic),,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,None,,,,,,,,,,,,,,,,,Pasture/Hay/Grain,1,1,1,0
